"Acinetobacter.01","Acinetobacter.02","Actinomyces.01","Actinomyces.02","Alicyclobacillus.01","Anaerococcus.01","Anaerococcus.02","Atopobium.01","Atopobium.02","Bifidobacterium.01","Bulleidia.01","Burkholderia.01","C.Betaproteobacteria.01","C.Betaproteobacteria.02","C.Gammaproteobacteria.01","C.Gammaproteobacteria.02","C.Gammaproteobacteria.03","C.Gammaproteobacteria.04","C.Gammaproteobacteria.05","C.Gammaproteobacteria.06","C.Gammaproteobacteria.07","C.Gammaproteobacteria.08","C.Gammaproteobacteria.09","C.Gammaproteobacteria.10","C.Gammaproteobacteria.11","Campylobacter.01","Capnocytophaga.01","Carnobacterium.01","Catonella.01","Chryseobacterium.01","Corynebacterium.01","Corynebacterium.02","Dolosigranulum.01","Dyella.01","Eubacterium.01","F.Alcaligenaceae.01","F.Burkholderiaceae.01","F.Burkholderiaceae.02","F.Carnobacteriaceae.01","F.Comamonadaceae.01","F.Comamonadaceae.02","F.Enterobacteriaceae.01","F.Erysipelotrichaceae.01","F.Neisseriaceae.01","F.Pasteurellaceae.01","F.Pasteurellaceae.02","F.Prevotellaceae.01","F.Prevotellaceae.02","F.Prevotellaceae.03","F.Pseudomonadaceae.01","F.Pseudomonadaceae.02","F.Rhodocyclaceae.01","F.Xanthomonadaceae.01","Fusobacterium.01","Fusobacterium.02","Gemella.01","Gp2.01","Gp2.02","Lactobacillus.01","Marinobacter.01","Megasphaera.01","Metascardovia.01","Microbacterium.01","Mogibacterium.01","Mycoplasma.01","Neisseria.01","O.Actinomycetales.01","O.Actinomycetales.02","O.Actinomycetales.03","O.Actinomycetales.04","O.Bacteroidales.01","O.Bacteroidales.02","O.Burkholderiales.01","O.Clostridiales.01","O.Clostridiales.02","O.Clostridiales.03","O.Clostridiales.04","O.Clostridiales.05","P.Firmicutes.01","Paracoccus.01","Parvimonas.01","Parvimonas.02","Parvimonas.03","Peptoniphilus.01","Peptoniphilus.02","Peptoniphilus.03","Peptostreptococcus.01","Porphyromonas.01","Porphyromonas.02","Porphyromonas.03","Prevotella.01","Prevotella.02","Prevotella.03","Prevotella.04","Prevotella.05","Prevotella.06","Prevotella.07","Prevotella.08","Prevotella.09","Prevotella.10","Propionibacterium.01","Propionibacterium.02","Pseudomonas.01","Pseudomonas.02","Ralstonia.01","Rhizobium.01","Selenomonas.01","Selenomonas.02","Selenomonas.03","Solobacterium.01","Staphylococcus.01","Streptococcus.01","Sulfuricurvum.01","Tannerella.01","TM7_genus_incertae_sedis.01","TM7_genus_incertae_sedis.02","TM7_genus_incertae_sedis.03","TM7_genus_incertae_sedis.04","TM7_genus_incertae_sedis.05","TM7_genus_incertae_sedis.06","TM7_genus_incertae_sedis.07","TM7_genus_incertae_sedis.08","Treponema.01","Tropheryma.01","Veillonella.01","Veillonella.02"
"C.Gammaproteobacteria.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843778371810913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82684326171875,0,0,0,0
"C.Gammaproteobacteria.08",0.838010430335999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909447133541107,0.911555230617523,0,0,0,0,1,0.859680593013763,0,0,0,0,0,0,0.858272314071655,0,0,0,0,0,0,0,0.827489078044891,0,0,0,0,0,0,0,0,0,-0.831718802452087,0,0.898605525493622,0.911141097545624,0,0,0,0,0,0,0,0,0,0,0,0.819876909255981,0,0,0,0,0,0,0,0,0,0.912095129489899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.Gammaproteobacteria.09",0,0,0,0,0,0,0,0,0,0,0,0.857883274555206,0,0,0,0.940310776233673,0.822349786758423,0,0,0.903505504131317,0,0.859680593013763,1,0.929611444473267,0,0,0,0,0,0.927273988723755,0,0,0,0,0,0,0.919194340705872,0.967301845550537,0,0,0,0,0,0,0,0,0,0,0,0.838164925575256,0.825047671794891,0,0,0,0,0,0,0.8955437541008,0.879642069339752,0,0,0.929611444473267,0.927822053432465,0,0,0,0,0,0,0,0,0,0.946325123310089,0,0,0,0,0,0.89507257938385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.889658391475677,0,0,0.86615264415741,0.857390224933624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.Gammaproteobacteria.10",0,0,0,0,0,0,0,0,0,0,0,0.943266332149506,0,0,0,0.804197907447815,0.8099405169487,0,0.885427415370941,0.985363006591797,0,0,0.929611444473267,1,0,0,0,0,0,0.979318916797638,0,0,0,0,0,0,0.995915651321411,0.988376617431641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.934935033321381,0.967999219894409,0,0,1,0.970639824867249,0,0,0,0,0,0,0,0,0,0.842350840568542,0,0,0,0,0,0.978945791721344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988047480583191,0,0,0.96220600605011,0.882946193218231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C.Gammaproteobacteria.11",0.918671190738678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.906063735485077,0,0.979637444019318,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833436608314514,0,0,0,0,0,-0.85926616191864,0,0.805742263793945,0.870320558547974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870539128780365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80149894952774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campylobacter.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capnocytophaga.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967203378677368,0,0,0,0,0.924131512641907,0,0,0,0,0.818671643733978,0,0,0,0.840539813041687,0,0,0,0
"Carnobacterium.01",0,0,0,0,0,0.916668832302094,0,0,0.936178207397461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.853202998638153,0,0,0,0,0,0,0,0,0,0,0,0,0.914070606231689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905509769916534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.860229313373566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catonella.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861398279666901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.836829304695129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chryseobacterium.01",0,0,0,0,0,0,0,0,0,0,0,0.916711628437042,0,0,0,0.836731016635895,0.87272983789444,0,0.942471742630005,0.965431034564972,0,0.858272314071655,0.927273988723755,0.979318916797638,0,0,0,0,0,1,0,0,0,0,0,0,0.975555419921875,0.977831244468689,0,0,0,0,0,0,0,0,0,0,0,0.807838380336761,0,0,0,0,0,0,0,0.934252381324768,0.959131836891174,0,0,0.979318916797638,0.971622943878174,0,0,0,0,0,0,0,0,0,0.870477378368378,0,0,0,0,0,0.959234595298767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955611765384674,0,0,0.929959297180176,0.838813543319702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
